2023-12-23 13:30:49.112183 [NOTICE] [Context.cc:310] Downloading 326 item(s)
2023-12-23 13:30:49.313918 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/botvrij_ioc_domain
2023-12-23 13:30:49.317331 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/antisocialengineer
2023-12-23 13:30:49.323786 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/botvrij_ioc_url
2023-12-23 13:30:49.327701 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/chrisjudk
2023-12-23 13:30:49.329814 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/botvrij_hostnames
2023-12-23 13:30:49.332713 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/botvrij_ioc_ip_dst
2023-12-23 13:30:49.337503 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/c2_intel_feeds
2023-12-23 13:30:49.342477 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/botvrij_misp_ip_dst
2023-12-23 13:30:49.373250 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cps_illuminate
2023-12-23 13:30:49.382446 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/bjornstar
2023-12-23 13:30:49.385754 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/binarydefense
2023-12-23 13:30:49.390086 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cps_predict
2023-12-23 13:30:49.390954 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/d3ward
2023-12-23 13:30:49.393643 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/blokada_exodusprivacy
2023-12-23 13:30:49.398322 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cryptoscamdb_blacklist
2023-12-23 13:30:49.405070 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cps_stalkerware
2023-12-23 13:30:49.413177 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/dandelionsprout_norwegian
2023-12-23 13:30:49.416843 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/abuse_ch_urlhaus
2023-12-23 13:30:49.442027 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/adaway
2023-12-23 13:30:49.448167 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/anti_porn
2023-12-23 13:30:49.453629 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/azorult_ips
2023-12-23 13:30:49.455377 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/azorult_domains
2023-12-23 13:30:49.489687 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/dandelion_antimalware
2023-12-23 13:30:49.495023 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/abuse_ch_threatfox_domains
2023-12-23 13:30:49.517382 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/damengzhu
2023-12-23 13:30:49.535710 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/blokada_tracker_radar
2023-12-23 13:30:49.539865 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cname_trackers
2023-12-23 13:30:49.569722 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/antipopads
2023-12-23 13:30:49.570970 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/disconnectme_entities
2023-12-23 13:30:49.593566 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/discord_suspicious_links
2023-12-23 13:30:49.598292 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cyber_cure_urls
2023-12-23 13:30:49.600699 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/coinblockerlists_optional
2023-12-23 13:30:49.618686 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/dshield
2023-12-23 13:30:49.621646 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/blackbird
2023-12-23 13:30:49.626058 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/air_anti_icann
2023-12-23 13:30:49.633614 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/anti_ad
2023-12-23 13:30:49.637867 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cps_iocs
2023-12-23 13:30:49.638767 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/dataplane_sipinvitation
2023-12-23 13:30:49.642935 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/durablenapkin_luminati
2023-12-23 13:30:49.643882 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/easylist_finnish
2023-12-23 13:30:49.652656 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/fademind_unchecky
2023-12-23 13:30:49.658443 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cats_team
2023-12-23 13:30:49.665827 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cinsscore
2023-12-23 13:30:49.668851 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/discord_phishing_links
2023-12-23 13:30:49.669484 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/durablenapkin_tvstream
2023-12-23 13:30:49.676033 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/coinblockerlists_browser
2023-12-23 13:30:49.677778 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/dataplane_sipregistration
2023-12-23 13:30:49.682467 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/durablenapkin_avast
2023-12-23 13:30:49.686825 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/betterfyi
2023-12-23 13:30:49.691941 [ERROR] [AbstractCommand.cc:349] CUID#94 - Download aborted. URI=https://cybercrime-tracker.net/all.php
Exception: [AbstractCommand.cc:351] errorCode=22 URI=https://cybercrime-tracker.net/all.php
  -> [HttpSkipResponseCommand.cc:239] errorCode=22 The response status is not successful. status=500
2023-12-23 13:30:49.692375 [NOTICE] [RequestGroupMan.cc:424] Download GID#2e491202427d2e94 not complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cybercrime_all
2023-12-23 13:30:49.694500 [ERROR] [AbstractCommand.cc:349] CUID#95 - Download aborted. URI=https://cybercrime-tracker.net/ccamgate.php
Exception: [AbstractCommand.cc:351] errorCode=22 URI=https://cybercrime-tracker.net/ccamgate.php
  -> [HttpSkipResponseCommand.cc:239] errorCode=22 The response status is not successful. status=500
2023-12-23 13:30:49.694948 [NOTICE] [RequestGroupMan.cc:424] Download GID#4df163212b3882c0 not complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cybercrime_ccmgate
2023-12-23 13:30:49.698308 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/frellwits
2023-12-23 13:30:49.711047 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/easylist_indonesian
2023-12-23 13:30:49.712517 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/giox_filtri
2023-12-23 13:30:49.715385 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/durablenapkin_streaming
2023-12-23 13:30:49.718158 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/durablenapkin_scams
2023-12-23 13:30:49.722646 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/dataplane_sipquery
2023-12-23 13:30:49.725102 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/goodbye_ads_leeco
2023-12-23 13:30:49.728916 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/goodbye_ads_samsung
2023-12-23 13:30:49.729912 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/goodbye_ads_xiaomi
2023-12-23 13:30:49.734405 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/goodbye_ads_spotify
2023-12-23 13:30:49.748502 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cryptolaemus
2023-12-23 13:30:49.753891 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/giox_facebook
2023-12-23 13:30:49.761381 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cyber_cure_ips
2023-12-23 13:30:49.773680 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/goodbye_ads_core
2023-12-23 13:30:49.777576 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/futafilter_hosts
2023-12-23 13:30:49.782530 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/blocklist_de
2023-12-23 13:30:49.784659 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/giox_siteblock
2023-12-23 13:30:49.801270 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/firehol_level4
2023-12-23 13:30:49.818637 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/coinblockerlists_main
2023-12-23 13:30:49.822504 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/air_gambling
2023-12-23 13:30:49.833618 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/bruteforceblocker
2023-12-23 13:30:49.842162 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/hagezi
2023-12-23 13:30:49.849226 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/goodbye_ads_youtube
2023-12-23 13:30:49.851316 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/futafilter_nofarm_hosts
2023-12-23 13:30:49.855036 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/hostsvn
2023-12-23 13:30:49.857229 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/dataplane_vncrfb
2023-12-23 13:30:49.860309 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/energized_unblock
2023-12-23 13:30:49.869556 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/combindprivacyblocklists
2023-12-23 13:30:49.881356 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/botvrij_covid
2023-12-23 13:30:49.887466 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/abuse_ch_threatfox_ips
2023-12-23 13:30:49.891449 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/hpthreatresearch_ta551
2023-12-23 13:30:49.893975 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/charles_b_haley
2023-12-23 13:30:49.901231 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/digitalside_domains
2023-12-23 13:30:49.905754 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/fanboy_antifonts
2023-12-23 13:30:49.907452 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/hexxium
2023-12-23 13:30:49.911730 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/air_cryptojacking
2023-12-23 13:30:49.922083 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/iam_py_test_antimalware
2023-12-23 13:30:49.927303 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/fanboy_indian
2023-12-23 13:30:49.942969 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/infinitytec_scams_and_phishing
2023-12-23 13:30:49.948003 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/air_ads
2023-12-23 13:30:49.957824 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/ios_trackers
2023-12-23 13:30:49.964575 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/dataplane_sshpwauth
2023-12-23 13:30:49.978024 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/giox_upd
2023-12-23 13:30:49.988513 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_erratasec
2023-12-23 13:30:50.000197 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/infinitytec_ads_and_trackers
2023-12-23 13:30:50.022373 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/ipsum
2023-12-23 13:30:50.026548 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/cert_agid_log4shell
2023-12-23 13:30:50.028011 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_onyphe
2023-12-23 13:30:50.029249 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_rapid7sonar
2023-12-23 13:30:50.035571 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_shodan
2023-12-23 13:30:50.070601 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/inquest
2023-12-23 13:30:50.072603 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_adscore
2023-12-23 13:30:50.091323 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/dns_for_family
2023-12-23 13:30:50.098830 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/darklist
2023-12-23 13:30:50.136343 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/kodopenguin_android
2023-12-23 13:30:50.139435 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/kodopenguin_amazon_firestick
2023-12-23 13:30:50.149491 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/infinitytec_medical_pseudoscience
2023-12-23 13:30:50.158445 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/infinitytec_multi_level_marketing
2023-12-23 13:30:50.160098 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_arbor
2023-12-23 13:30:50.165308 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/kadhosts
2023-12-23 13:30:50.176435 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/jawz101
2023-12-23 13:30:50.181247 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/esox_lucius
2023-12-23 13:30:50.184194 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/greensnow
2023-12-23 13:30:50.185058 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_blindferret
2023-12-23 13:30:50.186721 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_cybergreen
2023-12-23 13:30:50.191863 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/kodopenguin_gaming
2023-12-23 13:30:50.193440 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/listkr_third_domains
2023-12-23 13:30:50.197379 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/logroid
2023-12-23 13:30:50.219215 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/lightswitch_hate_and_junk
2023-12-23 13:30:50.224845 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/majkiit_hostfile
2023-12-23 13:30:50.239556 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/listkr_first_domains
2023-12-23 13:30:50.242147 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/littlecordines_general
2023-12-23 13:30:50.247485 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/kodopenguin_main
2023-12-23 13:30:50.249887 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/littlecordines_porn
2023-12-23 13:30:50.253053 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/lukes_list
2023-12-23 13:30:50.257875 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_scorecard
2023-12-23 13:30:50.265641 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/lightswitch_amp_hosts
2023-12-23 13:30:50.268404 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/lightswitch_dating
2023-12-23 13:30:50.277609 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/metamask
2023-12-23 13:30:50.281760 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_ipip
2023-12-23 13:30:50.282847 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_univsydney
2023-12-23 13:30:50.286208 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/lightswitch_facebook
2023-12-23 13:30:50.317032 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/digitalside_ips
2023-12-23 13:30:50.320264 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/maltrail_ips
2023-12-23 13:30:50.322055 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_internetcensus
2023-12-23 13:30:50.333723 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/minecraft_hosts
2023-12-23 13:30:50.337239 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/malware_discoverer
2023-12-23 13:30:50.337923 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/marktron_fakenews
2023-12-23 13:30:50.338640 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/matomo
2023-12-23 13:30:50.350405 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/nocoin
2023-12-23 13:30:50.355617 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_netsystems
2023-12-23 13:30:50.358391 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/mobiletrackers_list
2023-12-23 13:30:50.361106 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/msedge
2023-12-23 13:30:50.364244 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/mobiletrackers_windows
2023-12-23 13:30:50.371076 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/joshwho
2023-12-23 13:30:50.374781 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/isc_stretchoid
2023-12-23 13:30:50.387292 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/fanboy_cookiemonster
